,num_parent_commits,merged_from_pull,lines_added,lines_deleted,lines_total,files_total,num_unique_file_formats,combined
695,1,True,24,22,46,2,1,fail
701,1,True,1,1,2,1,1,pass
702,1,True,3,0,3,1,1,fail
703,2,True,164,3,167,4,2,pass
705,1,True,4,14,18,1,1,pass
706,2,True,9,5,14,3,2,pass
708,1,True,18,0,18,1,1,pass
710,1,True,5,22,27,1,1,pass
711,1,True,9,1,10,1,1,fail
716,1,True,4,3,7,1,1,pass
717,1,True,2,2,4,1,1,fail
718,1,True,32,30,62,2,1,fail
721,1,True,5,2,7,1,1,pass
722,1,True,7,3,10,2,2,pass
723,2,True,3,3,6,1,1,pass
724,1,True,3,3,6,1,1,pass
725,1,True,10,10,20,1,1,pass
726,1,True,0,2,2,1,1,pass
727,1,True,1,3,4,2,1,fail
728,2,True,10,15,25,5,3,fail
767,1,True,245,166,411,2,1,pass
768,2,True,16,2,18,4,2,fail
769,1,True,6,1,7,2,2,fail
770,2,True,10,1,11,2,1,pass
771,1,True,4,4,8,1,1,pass
772,1,True,8,0,8,1,1,fail
773,1,True,1,1,2,1,1,pass
774,1,True,1,0,1,1,1,pass
775,2,True,4,1,5,2,2,fail
776,2,True,5,2,7,3,2,pass
778,2,True,7,2,9,3,2,fail
779,1,True,5,0,5,1,1,pass
781,1,True,1,1,2,1,1,pass
782,1,True,1,1,2,1,1,pass
783,2,True,8,3,11,3,2,pass
784,1,True,1,1,2,1,1,pass
786,1,True,2,2,4,1,1,pass
787,2,True,8,3,11,3,2,fail
788,1,True,1,1,2,1,1,pass
789,1,True,5,0,5,1,1,fail
790,1,True,1,1,2,1,1,pass
791,1,True,1,1,2,1,1,fail
792,1,True,3,3,6,1,1,fail
793,1,True,5,5,10,1,1,fail
797,1,True,2,2,4,1,1,pass
798,1,True,2,2,4,1,1,pass
799,2,True,12,0,12,1,1,pass
800,1,True,12,0,12,1,1,pass
801,2,True,80,2,82,3,2,pass
802,1,True,1,1,2,1,1,pass
803,1,True,10,1,11,1,1,fail
804,1,True,5,0,5,1,1,pass
805,2,True,3,1,4,1,1,pass
806,2,True,2,0,2,1,1,fail
807,1,True,64,0,64,1,1,pass
808,1,True,3,1,4,1,1,pass
809,1,True,2,0,2,1,1,pass
810,2,True,782,344,1126,24,5,pass
811,2,True,27,9,36,2,1,pass
812,2,True,26,8,34,2,1,pass
813,1,True,1,1,2,1,1,pass
814,1,True,16,16,32,1,1,pass
815,2,True,1,1,2,1,1,pass
816,1,True,1,1,2,1,1,pass
817,1,True,0,5,5,1,1,pass
820,1,True,1,1,2,1,1,pass
822,1,True,1,0,1,1,1,pass
824,2,True,4,1,5,2,2,pass
825,2,True,712,274,986,19,5,pass
826,1,True,5,0,5,1,1,pass
827,2,True,3,1,4,1,1,pass
830,2,True,3,1,4,2,2,pass
831,1,True,1,0,1,1,1,pass
832,2,True,14,4,18,3,2,pass
833,2,True,14,4,18,3,2,pass
834,1,True,1,1,2,1,1,pass
836,1,True,8,3,11,1,1,pass
837,1,True,2,1,3,1,1,pass
838,2,True,181,63,244,5,2,pass
839,1,True,1,0,1,1,1,pass
840,1,True,4,21,25,1,1,pass
841,2,True,26,3,29,4,2,pass
842,2,True,515,220,735,18,5,pass
844,2,True,42,15,57,3,2,pass
845,1,True,2,4,6,1,1,pass
846,1,True,22,0,22,1,1,pass
847,1,True,4,4,8,2,1,pass
848,1,True,6,6,12,1,1,fail
849,2,True,43,31,74,7,2,fail
850,1,True,2,2,4,1,1,pass
851,1,True,1,1,2,1,1,pass
852,1,True,3,6,9,1,1,pass
856,1,True,1,1,2,1,1,pass
857,2,True,483,194,677,18,5,fail
858,1,True,3,1,4,2,2,pass
859,1,True,1,0,1,1,1,pass
887,1,True,1,1,2,1,1,pass
888,1,True,1,0,1,1,1,pass
889,1,True,174,60,234,3,1,fail
890,1,True,2,1,3,1,1,fail
891,1,True,72,38,110,5,1,fail
892,2,True,2,2,4,1,1,pass
893,1,True,2,2,4,1,1,pass
894,1,True,2,2,4,1,1,fail
895,1,True,15,11,26,1,1,fail
896,2,True,448,174,622,14,2,fail
897,1,True,3,0,3,1,1,pass
898,2,True,75,11,86,2,1,pass
899,1,True,3,3,6,1,1,pass
900,2,True,439,227,666,18,5,pass
901,2,True,74,63,137,4,2,pass
902,2,True,74,62,136,3,2,pass
903,1,True,1,1,2,1,1,pass
904,1,True,5,0,5,1,1,pass
905,2,True,299,102,401,12,2,pass
906,2,True,58,66,124,6,5,pass
908,1,True,67,102,169,2,1,pass
909,1,True,6,15,21,3,2,pass
910,2,True,0,1,1,1,1,pass
911,1,True,0,1,1,1,1,pass
912,1,True,68,61,129,1,1,pass
913,1,True,4,4,8,2,1,fail
914,1,True,26,28,54,2,1,fail
915,1,True,12,13,25,1,1,pass
916,1,True,62,62,124,2,1,fail
917,1,True,1,6,7,2,2,fail
920,1,True,2,2,4,1,1,pass
921,1,True,71,13,84,2,1,pass
922,2,True,111,57,168,9,4,fail
923,2,True,4,26,30,4,3,pass
924,2,True,104,57,161,8,4,pass
926,2,True,60,40,100,4,3,pass
927,1,True,5,0,5,1,1,pass
928,1,True,55,40,95,3,3,pass
929,2,True,36,3,39,5,2,pass
930,2,True,15,16,31,3,3,pass
931,2,True,12,14,26,3,3,pass
932,1,True,1,1,2,1,1,pass
933,1,True,2,2,4,1,1,pass
934,1,True,19,0,19,1,1,pass
938,1,True,3,2,5,1,1,pass
939,1,True,7,28,35,1,1,pass
940,2,True,2855,5200,8055,36,10,pass
943,2,True,2912,5232,8144,39,10,fail
944,2,True,2855,5200,8055,36,10,pass
945,2,True,2855,5200,8055,36,10,pass
946,1,True,30,28,58,1,1,pass
947,1,True,1,0,1,1,1,fail
948,1,True,2,2,4,2,2,fail
949,1,True,2,1,3,2,2,pass
950,1,True,0,15,15,1,1,pass
951,1,True,1,11,12,1,1,fail
952,1,True,5,1,6,2,2,pass
953,1,True,11,10,21,4,2,pass
954,1,True,24,3,27,4,2,pass
955,1,True,2806,2920,5726,3,1,pass
956,1,True,1,1218,1219,15,2,pass
959,1,True,1,1,2,1,1,fail
960,1,True,4,4,8,1,1,pass
961,1,True,25,7,32,4,3,pass
962,1,True,60,56,116,1,1,pass
963,1,True,1,1,2,1,1,pass
964,1,True,7,0,7,2,2,pass
965,1,True,6,0,6,2,2,pass
966,1,True,22,1,23,2,2,pass
967,1,True,4,21,25,3,1,pass
968,1,True,6,10,16,1,1,pass
969,2,True,6,3,9,2,2,pass
970,1,True,1,1,2,1,1,pass
971,1,True,5,2,7,1,1,pass
972,1,True,1,1,2,1,1,pass
973,1,True,9,9,18,3,1,pass
974,1,True,2,3,5,2,1,pass
975,2,True,890,156,1046,13,3,pass
976,2,True,4,4,8,4,3,fail
977,1,True,2,2,4,2,2,pass
978,1,True,1,1,2,1,1,pass
979,1,True,1,1,2,1,1,pass
980,2,True,341,75,416,7,2,pass
981,1,True,143,21,164,5,2,pass
982,2,True,156,19,175,3,2,pass
983,2,True,42,35,77,2,2,pass
984,1,True,42,35,77,2,2,pass
985,1,True,1,0,1,1,1,pass
986,1,True,16,8,24,1,1,pass
987,1,True,3,1,4,1,1,pass
988,1,True,3,1,4,1,1,fail
989,1,True,6,3,9,1,1,fail
990,1,True,55,3,58,3,2,fail
991,2,True,576,85,661,11,3,fail
992,1,True,38,2,40,1,1,pass
993,2,True,934,456,1390,23,5,pass
994,1,True,1,0,1,1,1,pass
995,1,True,27,8,35,3,1,pass
996,1,True,1,1,2,1,1,pass
997,1,True,262,1,263,6,2,pass
1004,1,True,21,6,27,3,2,pass
1005,1,True,1,1,2,1,1,pass
1006,1,True,11,24,35,1,1,fail
1007,1,True,39,24,63,1,1,pass
1008,2,True,91,0,91,6,2,pass
1009,1,True,0,1,1,1,1,pass
1010,1,True,13,5,18,3,1,pass
1011,2,True,138,150,288,3,3,fail
1012,1,True,13,5,18,1,1,pass
1013,1,True,1,1,2,1,1,pass
1015,1,True,7,2,9,3,3,pass
1016,1,True,1,26,27,2,2,pass
1017,2,True,119,119,238,1,1,fail
1018,1,True,4,4,8,1,1,fail
1019,1,True,1,1,2,1,1,pass
1020,1,True,6,1,7,2,2,pass
1021,1,True,9,3,12,1,1,pass
1022,1,True,1,0,1,1,1,pass
1023,1,True,96,96,192,1,1,fail
1024,1,True,19,19,38,1,1,fail
1025,2,True,1,1,2,1,1,pass
1026,1,True,1,1,2,1,1,pass
1027,2,True,366,388,754,16,4,fail
1028,1,True,1,1,2,1,1,pass
1029,1,True,14,0,14,1,1,pass
1030,1,True,109,0,109,2,2,pass
1031,1,True,1,0,1,1,1,pass
1032,1,True,18,9,27,1,1,pass
1033,1,True,53,0,53,3,2,pass
1034,1,True,3,2,5,1,1,pass
1035,1,True,11,3,14,3,2,pass
1036,1,True,6,319,325,9,4,pass
